ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
43,"Accepted/rejected also shown in new tab of rvp",sandbox,Closed,High,Major,Functional,Always,vikram1,yashm,"If seller user accepts/rejects a request, its getting vanished from 'new' tab of rvp section, but when he visits accepted/rejected tab and then comes back again to new tab, the accepted/rejected request is again populating in new tab","Once a request is accepted/rejected it should disappear from new tab[if all the products of that request are served]","1. Go to rvp section; 2. GO to edit of any request; 3. Accept/reject it; 4. See request is disappeared from new tab; 5. Now go to accepted/rejected tab and then come back to new tab, see that order is again displayed","Windows PC",,1,"23/12/2016 14:34:00 ","27/12/2016 06:28:10 "
44,"Any service request[accepted/rejected] frm rvp is getting populated for 4 times in  dispatch-shipment table[non-reproducible]",sandbox,Closed,Medium,Major,Functional,Sometimes,vikram1,yashm,"entry getting for 4 times in dispatched_shipment","Only one entry should present in this table unless there are multiple products in that order
",,"Windows PC",,0,"23/12/2016 14:36:16 ","27/12/2016 09:32:29 "
45,"Accepted/rejected orders of rvp are not getting entered in service_request table",sandbox,"Not a Bug",High,Major,Functional,Always,vikram1,yashm,"If user accepts or rejects a request, the corrusponding entry is not getting entered in service-request table","accepted/rejected orders should get getting entered in service_request table","1. Go rvp section and accept or reject request; 2. Go to service request table; 3. See no entry in this table for that order","Windows PC",,1,"23/12/2016 14:39:18 ","27/12/2016 05:58:05 "
46,"resolution is not getting updated , it is showing error message",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"Note: It is getting added",,,"Windows PC Lenovo Generic/All Windows 8",,0,"26/12/2016 12:23:18 ","20/06/2017 09:01:14 "
47,"image is uploaded while rejecting rvp then also we are not able to see in purplle rvp panel",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"image is uploaded while rejecting rvp then also we are not able to see in purplle rvp panel",,,"Windows PC Lenovo Generic/All Windows 8",,0,"05/01/2017 07:50:15 ","05/01/2017 09:20:24 "
48,"when user tries to add or update commission percentage, it is not getting updated. it is showing default value as 86",sandbox,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when user tries to add or update commission percentage, it is not getting updated. it is showing default value as 86",,,"Windows PC Lenovo Generic/All Windows 8",,1,"10/01/2017 10:15:42 ","11/01/2017 12:12:21 "
49,"while adding the product to seller sku type is not defined, database error is coming",sandbox,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"while adding the product to seller sku type is not defined, database error is coming

A Database Error Occurred

Error Number: 1364

Field 'sku_type' doesn't have a default value

INSERT INTO `procurement_seller_product` (`updated_at`, `updated_by`, `seller_id`, `product_id`, `price`, `our_price`, `active`, `off_premise_inv`, `seller_sponsor`, `tax`) VALUES (1484043751, '359', 1, '109295', '1390', 1200, 1, 10, 0, 1)

Filename: /home/managesandbox/public_html/packages/admin/modules/sourcing/models/seller_m.php

Line Number: 116",,,"Windows PC Lenovo Generic/All Windows 8",,0,"10/01/2017 10:26:09 ","10/01/2017 14:10:28 "
50,"while adding new product to the seller, tax by default inserted is 0",sandbox,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"while adding new product to the seller, tax by default inserted is 0",,,"Windows PC Lenovo Generic/All Windows 8",,0,"10/01/2017 11:11:25 ","10/01/2017 11:13:33 "
51,"when user enters amount < payable then also error message is coming",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"when user enters amount < payable then also error message is coming",,"1. open managesandbox; 2. upload excel sheet with amount < payable ","Windows PC Lenovo Generic/All Windows 8",,0,"21/01/2017 06:13:39 ","21/01/2017 06:13:39 "
52,"when user tries to upload excel sheet from seller panel, page is coming blank",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when user tries to upload excel sheet from seller panel, page is coming blank",,,"Windows PC Lenovo Generic/All Windows 8",,0,"12/04/2017 07:52:43 ","03/07/2017 06:27:15 "
53,"when new seller data is added, by default it should be inactive but currently it is active",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when new seller data is added, by default it should be inactive but currently it is active",,,"Windows PC Lenovo Generic/All Windows 8",,0,"12/04/2017 09:15:29 ","03/07/2017 06:27:28 "
54,"when for same product, multiple requests are there, then in moderation when user approves any 1, others disappears",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when for same product, multiple requests are there, then in moderation when user approves any 1, others disappears",,,"Windows PC Lenovo Generic/All Windows 8",,0,"12/04/2017 09:16:39 ","03/07/2017 06:27:34 "
55,"if commission % is entered characters or special char instead of no, database error is coming",sandbox,Resolved,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"if commission % is entered characters or special char instead of no, database error is coming",,,"Windows PC Lenovo Generic/All Windows 8",,0,"12/04/2017 09:18:39 ","03/07/2017 06:26:31 "
56,"Expiry date is getting accepted of previous month and year",sandbox,Closed,Medium,Trivial,Functional,Always,"Nirali Thakkar","priyanka k","Expiry date is getting accepted of previous month and year",,,"Windows PC Lenovo Generic/All Windows 8",,1,"30/05/2017 06:00:12 ","02/06/2017 06:40:21 "
57,"when user after choosing coupon code, takes order id, and clicks on submit, the entered values should disappear",sandbox,Closed,High,Trivial,Functional,Always,"Nirali Thakkar","priyanka k","when user after choosing coupon code, takes order id, and clicks on submit, the entered values should disappear from the form",,,"Windows PC Lenovo Generic/All Windows 8",,0,"30/05/2017 06:25:27 ","02/06/2017 06:40:06 "
58,"When user keeps the values blank or enters incorrect value, then also data added successfully is coming",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","When user keeps the values blank or enters incorrect value, then also data added successfully is coming",,"1. open http://managesandbox.purplle.com/production/price_exp/procumentpricing; 2. try to upload sheet which has incorrect values or keep the field null","Windows PC Lenovo Generic/All",,0,"02/06/2017 06:11:19 ","02/06/2017 06:11:19 "
59,"when user enters alphanumeric for the integer fields, database error is coming",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters alphanumeric for the integer fields, database error is coming","it shold be handled","1. open http://managesandbox.purplle.com/production/price_exp/procumentpricing; 2. for some of the fields enter alpha numeric for the numeric fields","Windows PC Lenovo Generic/All",,0,"02/06/2017 06:14:40 ","02/06/2017 13:12:17 "
60,"when user enters all the fields proper , then also its giving error message sku is missing at row3",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters all the fields proper , then also its giving error message sku is missing at row3

Note: enter only 1 row and check then only that error message is coming",,"1. open http://managesandbox.purplle.com/production/price_exp/procumentpricing; 2. upload sheet with values proper which has only 1 row","Windows PC Lenovo Generic/All",,0,"02/06/2017 06:17:03 ","02/06/2017 13:32:29 "
61,"when user enters alphanumeric values in date , then also data is getting inserted in db, with 0 values",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters alphanumeric values in date , then also data is getting inserted in db, with 0 values",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:18:23 ","03/06/2017 05:20:49 "
62,"seller id should not be allowed to enter any random no, it should be present in procurement seller product table",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","seller id should not be allowed to enter any random no, it should be present in procurement seller product table",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:20:54 ","02/06/2017 13:44:24 "
63,"sku should not be allowed to enter any random no, it should present in procurement_seller_product table",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","sku should not be allowed to enter any random no, it should present in procurement_seller_product table",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:21:56 ","02/06/2017 13:44:12 "
64,"combination of sku and that seller which we are entering should be present in procurement_seller_product.",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","combination of sku and that seller which we are entering should be present in procurement_seller_product.",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:22:52 ","02/06/2017 13:43:59 "
65,"min_discount should not be greater than max discount",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","min_discount should not be greater than max discount",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:23:57 ","02/06/2017 13:07:32 "
66,"mrp should be removed from excel as discussed with arvind, but it shpuld be present in mrp",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","mrp should be removed from excel as discussed with arvind, but it shpuld be present in mrp

Note: It should fetch mrp from procurement_seller_product table for that particular seller_id and sku",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:26:17 ","02/06/2017 13:43:45 "
67,"if start date and end date is same, then timing should be different",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","if start date and end date is same, then timing should be different

Note: Start date timing should be 0hour 0 min 0 sec
and end date timing should be 23 hour 59 min 59 sec",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:35:43 ","03/06/2017 05:29:09 "
68,"start date and end date format should be defined and also mention in UI",sandbox,Closed,Low,Trivial,Visual,Always,"Nirali Thakkar","priyanka k","start date and end date format should be defined and also mention in UI",,,"Windows PC Lenovo Generic/All",,0,"02/06/2017 06:37:00 ","03/06/2017 05:29:17 "
69,"when user enters random no in the excel, in the start date and end date, it takes any date , it gives db error ",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters random no in the excel, in the start date and end date, it takes any date , it gives db error ",,"1. open excel; 2. enter random no in strt and end date; 3. now try to upload","Windows PC Lenovo Generic/All Windows 8",,0,"03/06/2017 05:18:45 ","20/06/2017 09:00:58 "
70,"when user  enters only seller id and sku then also it shows data is getting updated",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user  enters only seller id and sku then also it shows data is getting updated",,,"Windows PC Lenovo Generic/All Windows 8",,0,"03/06/2017 05:48:40 ","20/06/2017 09:00:50 "
71,"when user enters start date of today and end date of tomorrow, then also it is taking timings of today",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters start date of today and end date of tomorrow, then also it is taking timings of today

epoch start date of 03-06-2017  1496428200
end date 04-06-2017  1496514600
",,,"Windows PC Lenovo Generic/All Windows 8",,0,"03/06/2017 05:52:41 ","20/06/2017 08:57:32 "
72,"Put validations proper for the date",sandbox,Resolved,High,Major,Visual,Always,"Nirali Thakkar","priyanka k","Put validations proper for the date. check for all the conditions

If day is >31 or month is > 12 or year < current

",,,"Windows PC Lenovo Generic/All Windows 8",,0,"03/06/2017 06:23:13 ","20/06/2017 10:46:34 "
73,"when user manually changes capture id to 0 for successful order, and clicks on verify , status is not changing to verified",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",jeevan120429,"when user manually changes capture id to 0 for successful order, and clicks on verify , status is not changing to verified","capture id should be changed to 1 and order status should be changed to Verified as Juspay has valid tansaction id","1. perform successful prepaid order; 2. now mark status manually as To Verify; 3. change capture id to 0; 4. now open panel and click on verify order","Windows PC Lenovo Generic/All Windows 8",,0,"13/06/2017 07:16:58 ","13/06/2017 07:16:58 "
