ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
1,"'data added successfully' msg is coming even though the upload is failed",Prod,Closed,High,Major,Functional,Always,"Nirali Thakkar",pareshmedia,"data added successfully is coming even though the upload is failed","'data added successfully' msg should not come if the upload is failed",,"Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,2,"08/09/2016 10:28:45 ","17/10/2016 14:35:09 "
92,"Scheduled Date & time is getting same for all",Prod,"Not a Bug",High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. when we schedule for email notification, scheduled Date and time is getting same for all campaigns which are showing in table at bottom of the panel.","1. Scheduled Date & time should show as per scheduled time, shouldn't show same for all.","1. Open http://manage.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign, segment list and schedule as per requirement; 3. Repeat the step2 two or more times for different segments with different Date & time; 4. Now see the scheduled Date & time in ""Scheduled date"" column at bottom table of the panel",,,0,"01/09/2017 12:29:20 ","04/09/2017 15:21:29 "
94,"passed out dates and time shouldn't get select while scheduling",Prod,Closed,High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. When we are doing scheduling part for Notifications testing, passed out dates and time is getting select and schedule.","1. passed out dates and time shouldn't be select. It should disable..","1. Open http://manage.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign name, segment list and try to schedule for passed out dates and time",,,0,"04/09/2017 06:35:10 ","04/09/2017 15:22:53 "
98,"Home page is opening instead of stories page",Prod,Closed,High,Major,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. Home page is opening instead of stories page, when click on deep link push.","1. Should open stories page","1. Open  http://managesandbox.purplle.com/digitalmarketing/emailsubscriber; 2. Select campaign name, type: Push notification; 3. Insert this https://www.purplle.com/stories into Deeplink field; 4. Hit on test push; 5. Now check on mobile device",,,1,"16/09/2017 05:05:45 ","18/09/2017 06:28:46 "
2,"if user keeps the view as 12 and only 12 users has viewed the product and runs the cron the new price is not getting updated",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"if user keeps the view as 12 and only 12 users has viewed the product and runs the cron the new price is not getting updated.

Note: It only gets updated when the view is > 12
",,"1. open managesandbox.purplle.com; 2. go to product -> price exp; 3. enter view 12 and set the new price; 4. if the actual view is 12 and we run the cron the new price is not getting updated","Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 10:10:11 ","19/10/2016 10:10:11 "
3,"while scheduling the price exp, instead of registered name , normal name is coming in the listing",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"while scheduling the price exp, instead of registered name , normal name is coming in the listing","Registered name should come in the listing",,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 11:33:40 ","19/10/2016 11:33:40 "
4,"our price is not getting update in product_price_experiment when views are > than the view is set",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"our price is not getting update in product_price_experiment when views are > than the view is set",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:21:26 ","19/10/2016 13:21:26 "
5,"new value is not getting inserted in product_update_index after running the cron",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"new value is not getting inserted in product_update_index after running the cron",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:23:11 ","19/10/2016 13:23:11 "
6,"when clicked on duplicate, percentage is coming as selected by default even though the type is amount",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"when clicked on duplicate, percentage is coming as selected by default even though the type is amount",,,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:25:06 ","19/10/2016 13:25:06 "
7,"it is accepting % > 100 in the values",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"it is accepting % > 100 in the values","% range should always in between 1-100",,"Windows PC Lenovo Generic/All Windows 8",,0,"19/10/2016 13:26:16 ","19/10/2016 13:26:16 "
8,"for the 2nd view, data is not getting updated in product_price_experiment",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"for the 2nd view, data is not getting updated in product_price_experiment",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/10/2016 11:07:57 ","21/10/2016 11:07:57 "
9,"when user enters value > mrp, it shows error message but it gets submitted",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"when user enters value > mrp, it shows error message but it gets submitted",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/10/2016 13:39:41 ","21/10/2016 13:39:41 "
10,"multiple values are getting inserted into product_update_index",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",yashm,"multiple values are getting inserted into product_update_index",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/10/2016 13:46:42 ","21/10/2016 13:46:42 "
15,"When user has used partial amount from  cashback, then after cancel wallet shows some balance instead of 0",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"When user has used partial amount from  cashback, and cancelled the order through which he got the cashback , the amount shown in the wallet is partial amount not used instead of 0",,"1. perform 1 order ; 2. now perform 2nd order and use the cashback amount partial; 3. now cancel the complete 1st order ; 4. the refund amount is correct but instead of deducting all the amount from the wallet, it still shows some money.","Windows PC Lenovo Generic/All Windows 8",,1,"23/11/2016 06:04:49 ","24/11/2016 08:36:57 "
16,"cashback is not working",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"cashback is not working",,"1. perform complete order; 2. The amount is not coming in ext_Wallet","Windows PC Lenovo Generic/All Windows 8",,0,"23/11/2016 07:42:25 ","24/11/2016 06:40:30 "
17,"when user has used all the amount from the wallet, in purplle wallet page, it is coming as cashback is expired",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when user has used all the amount from the wallet, in purplle wallet page, it is coming as cashback is expired","It is not the expired condition, so this should not come.. Instead it should be ""Paid for order""","1. perform complete order; 2. perform 2nd order, and use the whole wallet amount; 3. now go to purplle wallet page; 4. it is showing cashback is expired instead","Windows PC Lenovo Generic/All Windows 8",,0,"24/11/2016 07:11:56 ","16/12/2016 12:29:46 "
18,"when user performs partial refund, in the panel, the quanity is not getting changed",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when user performs partial refund, in the panel, the quanity is not getting changed","the quanity should change automatically","1. perform order; 2. open panel; 3. click on refund; 4. refund by using quanity; 5. quantity is not changing even after refreshing the page","Windows PC Lenovo Generic/All Windows 8",,0,"24/11/2016 10:17:12 ","28/11/2016 09:03:31 "
19,"Refund is coming incorrect, when user performs partial refund from the panel",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"Refund is coming incorrect, when user performs partial refund from the panel

",,"1. perform 1st order with cashback coupon; 2. perform 2nd order with cashback coupon; 3. run the crron; 4. perform 3rd order and use partail wallet; 5. now part refund from the panel","Windows PC Lenovo Generic/All Windows 8",,0,"24/11/2016 10:19:27 ","28/11/2016 09:03:55 "
20,"Email issues in cashback credit",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"1. Beauty quiz banner is not clickable
2. google + page is giving 404 error
3. Order id should be displayed in full",,"1. perform order with amount > 1000, and use coupon cashnimbu and run the cron","Windows PC Lenovo Generic/All Windows 8",cashback,1,"28/11/2016 11:13:22 ","16/12/2016 12:29:39 "
21,"Alignment issue in email of cancellation when amount is present in wallet",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"Alignment issue in email of cancellation when amount is present in wallet",,,"Windows PC Lenovo Generic/All Windows 8",,0,"29/11/2016 07:44:10 ","05/12/2016 13:50:50 "
22,"from the panel, when clicked on refund and clicks on submit, the qty is not getting updated",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"Note: It is working for cancel",,,"Windows PC Lenovo Generic/All Windows 8",,0,"29/11/2016 11:33:39 ","12/12/2016 10:42:38 "
23,"in full cancel or full refund, when partial amount is not present in the wallet, total refund amt in mail is incorrect",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"in full cancel or full refund, when partial amount is not present in the wallet, total refund amt in mail is incorrect",,"1. perform first complete order; 2. run the cron; 3. now perform 2nd order and use some wallet amt; 4. now cancel the first order","Windows PC Lenovo Generic/All Windows 8",,0,"29/11/2016 11:36:25 ","12/12/2016 10:42:28 "
24,"during partial refund, in the email, subtotal is coming 0",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"during partial refund, in the email, subtotal is coming 0",,"1. perform complete order; 2. run the cron; 3. part cancel the order","Windows PC Lenovo Generic/All Windows 8",,0,"29/11/2016 11:37:46 ","12/12/2016 10:42:18 "
